Epoch	LR	Train Loss	Recons Loss	KLD Loss	
328.000000	0.000374	0.499132	0.159484	0.339647	
329.000000	0.000370	0.506914	0.158127	0.348787	
330.000000	0.000366	0.517121	0.158886	0.358236	
331.000000	0.000363	0.529839	0.159700	0.370140	
332.000000	0.000359	0.481711	0.159603	0.322108	
333.000000	0.000356	0.482781	0.159316	0.323465	
334.000000	0.000352	0.502020	0.158824	0.343197	
335.000000	0.000348	0.500733	0.159565	0.341169	
336.000000	0.000345	0.505169	0.158881	0.346288	
337.000000	0.000342	0.518868	0.159879	0.358989	
338.000000	0.000338	0.515305	0.159498	0.355807	
339.000000	0.000335	0.484374	0.160257	0.324117	
340.000000	0.000331	0.478379	0.159489	0.318890	
341.000000	0.000328	0.492917	0.159595	0.333322	
342.000000	0.000325	0.498692	0.160580	0.338113	
343.000000	0.000322	0.522103	0.159567	0.362536	
344.000000	0.000318	0.513613	0.158567	0.355047	
345.000000	0.000315	0.488335	0.159580	0.328755	
346.000000	0.000312	0.516773	0.159501	0.357272	
347.000000	0.000309	0.513152	0.159345	0.353807	
348.000000	0.000306	0.488958	0.159350	0.329608	
349.000000	0.000303	0.484261	0.158452	0.325810	
350.000000	0.000300	0.495340	0.159739	0.335601	
351.000000	0.000297	0.493699	0.158976	0.334723	
352.000000	0.000294	0.483670	0.159282	0.324388	
353.000000	0.000291	0.515074	0.159350	0.355725	
354.000000	0.000288	0.488649	0.159337	0.329312	
355.000000	0.000285	0.466577	0.159174	0.307402	
356.000000	0.000282	0.482816	0.159427	0.323390	
357.000000	0.000279	0.503424	0.160410	0.343014	
358.000000	0.000277	0.481343	0.159360	0.321983	
359.000000	0.000274	0.483637	0.159825	0.323812	
360.000000	0.000271	0.504694	0.158606	0.346088	
361.000000	0.000268	0.467672	0.159453	0.308219	
362.000000	0.000266	0.473467	0.159108	0.314359	
363.000000	0.000263	0.504038	0.159297	0.344741	
364.000000	0.000260	0.496483	0.158838	0.337645	
365.000000	0.000258	0.493332	0.159167	0.334165	
366.000000	0.000255	0.477517	0.158720	0.318797	
367.000000	0.000253	0.497360	0.159570	0.337790	
368.000000	0.000250	0.471206	0.159444	0.311762	
369.000000	0.000248	0.472593	0.159000	0.313592	
370.000000	0.000245	0.490679	0.159580	0.331099	
371.000000	0.000243	0.463084	0.159240	0.303844	
372.000000	0.000240	0.474293	0.159484	0.314809	
373.000000	0.000238	0.467331	0.159434	0.307896	
374.000000	0.000235	0.479326	0.158555	0.320771	
375.000000	0.000233	0.458183	0.159165	0.299018	
376.000000	0.000231	0.491842	0.159453	0.332389	
377.000000	0.000228	0.506401	0.158832	0.347569	
378.000000	0.000226	0.475982	0.159192	0.316790	
379.000000	0.000224	0.452058	0.158972	0.293086	
380.000000	0.000222	0.495596	0.159290	0.336306	
381.000000	0.000219	0.503353	0.160043	0.343311	
382.000000	0.000217	0.481969	0.159765	0.322204	
383.000000	0.000215	0.487782	0.159160	0.328622	
384.000000	0.000213	0.477007	0.159624	0.317383	
385.000000	0.000211	0.471528	0.159030	0.312499	
386.000000	0.000209	0.454262	0.159878	0.294384	
387.000000	0.000207	0.491919	0.158769	0.333150	
388.000000	0.000205	0.487298	0.159315	0.327983	
389.000000	0.000203	0.510731	0.159779	0.350952	
390.000000	0.000200	0.471019	0.159669	0.311351	
391.000000	0.000198	0.476187	0.160115	0.316072	
